Unnamed: 0,Timestamp,s1,s2,s1_clean,s2_clean,l_force_lbs,l_force_N,r_force_lbs,r_force_N,athletes_name,protocol_name,protocol_type,leg,elapsed_time_sec
132,1702049271.595378,-875313,-1104961,-875313,-1104961,120.1320791041534,575.9435519556959,134.35960903422372,644.1539266082176,zMax,CMJ,double,both,1.8758699893951416
133,1702049271.609667,-875538,-1105141,-875538,-1105141,120.15987612822458,576.0768179151028,134.3823175981909,644.2627972037204,zMax,CMJ,double,both,1.8901591300964355
134,1702049271.623765,-875028,-1104882,-875028,-1104882,120.09686954032988,575.7747484071137,134.3496424978159,644.1061445135246,zMax,CMJ,double,both,1.90425705909729
135,1702049271.638,-874309,-1104452,-874309,-1104452,120.00804260563126,575.3488896301645,134.29539426167204,643.8460647576009,zMax,CMJ,double,both,1.918492078781128
136,1702049271.652384,-874018,-1103889,-874018,-1103889,119.97209178783253,575.176532322665,134.22436691993025,643.5055417283334,zMax,CMJ,double,both,1.9328761100769043
137,1702049271.666581,-874287,-1103604,-874287,-1103604,120.00532467438876,575.3358591808003,134.18841169364887,643.3331632854538,zMax,CMJ,double,both,1.947072982788086
138,1702049271.681023,-874308,-1103972,-874308,-1103972,120.00791906330204,575.3482973370117,134.23483809109288,643.555743169593,zMax,CMJ,double,both,1.961514949798584
139,1702049271.694947,-874478,-1104045,-874478,-1104281,120.02892125926697,575.448987173008,134.27382112590325,643.7426376918731,zMax,CMJ,double,both,1.9754390716552732
140,1702049271.7079191,-874624,-101,-874624,-1104591,120.04695843933094,575.5354619733342,134.31293031940228,643.9301370507949,zMax,CMJ,double,both,1.9884111881256104
141,1702049271.7224278,-874608,-1105180,-874608,-1104901,120.04498176206366,575.5259852828875,134.3520395129013,644.1176364097165,zMax,CMJ,double,both,2.002919912338257
142,1702049271.7366688,-874520,-1105211,-874520,-1105211,120.03411003709358,575.4738634854306,134.39114870640034,644.3051357686381,zMax,CMJ,double,both,2.0171608924865723
143,1702049271.7510269,-874449,-1105464,-874449,-1105464,120.02533853172,575.4318106715733,134.42306685464314,644.4581594389841,zMax,CMJ,double,both,2.0315189361572266
144,1702049271.765244,-874091,-1106223,-874091,-1106223,119.98111037786452,575.2197697228281,134.51882129937144,644.9172304500214,zMax,CMJ,double,both,2.045736074447632
145,1702049271.779543,-873806,-1106637,-873806,-1106637,119.945900814041,575.050966174246,134.57105099649596,645.1676328196781,zMax,CMJ,double,both,2.060034990310669
146,1702049271.793609,-873797,-1107197,-873797,-1107197,119.94478893307814,575.0456355358698,134.64169986217163,645.5063413390205,zMax,CMJ,double,both,2.074100971221924
147,1702049271.807829,-873986,-1108152,-873986,-1108152,119.96813843329797,575.1575789417716,134.76218140988644,646.0839603318278,zMax,CMJ,double,both,2.0883209705352783
148,1702049271.821976,-874388,-1109332,-874388,-1109332,120.01780244963848,575.3956807892453,134.9110486625602,646.7976675690136,zMax,CMJ,double,both,2.102468013763428
149,1702049271.836164,-875074,-1109389,-875074,-1109389,120.10255248747332,575.8019938921481,134.9182397078165,646.8321432575897,zMax,CMJ,double,both,2.1166560649871826
150,1702049271.85065,-875303,-1108722,-875303,-1108722,120.13084368086132,575.9376290241667,134.83409186244918,646.4287172175871,zMax,CMJ,double,both,2.1311421394348145
151,1702049271.864704,-874911,-1107842,-874911,-1107842,120.08241508781286,575.7054501082222,134.7230722163874,645.8964609729062,zMax,CMJ,double,both,2.145195960998535
152,1702049271.879004,-874167,-1106177,-874167,-1106177,119.99049959488411,575.26478400245,134.51301799969093,644.889407964504,zMax,CMJ,double,both,2.159496068954468
153,1702049271.8931122,-873243,-1106011,-873243,-1106011,119.8763464826984,574.7175051291523,134.49207565736563,644.7890050819847,zMax,CMJ,double,both,2.173604249954224
154,1702049271.907496,-872942,-1105992,-872942,-1105992,119.83916024160762,574.5392248901235,134.4896786422802,644.7775131857927,zMax,CMJ,double,both,2.187988042831421
155,1702049271.9216902,-872723,-1106121,-872723,-1106121,119.81210447151166,574.4095126896342,134.50595311312335,644.8555371125698,zMax,CMJ,double,both,2.2021822929382324
156,1702049271.935905,-872821,-1105895,-872821,-1105895,119.82421161977378,574.4675574186202,134.47744124947567,644.7188440315495,zMax,CMJ,double,both,2.2163970470428467
157,1702049271.950098,-872630,-1105720,-872630,-1105720,119.80061503489556,574.3544294264126,134.45536347895202,644.6129976192549,zMax,CMJ,double,both,2.2305901050567627
158,1702049271.96442,-872324,-1105571,-872324,-1105571,119.76281108215872,574.1731877216192,134.43656583433474,644.5228769596441,zMax,CMJ,double,both,2.2449121475219727
159,1702049271.978681,-872003,-1105884,-872003,-1105884,119.72315399448384,573.9830616195321,134.4760535038999,644.7121908284909,zMax,CMJ,double,both,2.2591731548309326
160,1702049271.9928372,-873021,-1106176,-873021,-1106176,119.84892008561484,574.5860160492042,134.51289184100222,644.8888031278623,zMax,CMJ,double,both,2.273329257965088
161,1702049272.007112,-873828,-1106262,-873828,-1106262,119.94861874528353,575.0639966236103,134.523741488231,644.9408190790471,zMax,CMJ,double,both,2.287604093551636
162,1702049272.021271,-874661,-1106516,-874661,-1106516,120.05152950551154,575.5573768199923,134.55578579516245,645.0944475860344,zMax,CMJ,double,both,2.30176305770874
163,1702049272.035646,-875041,-1106655,-875041,-1106655,120.09847559060955,575.7824482181018,134.57332185289266,645.1785198792284,zMax,CMJ,double,both,2.3161380290985107
164,1702049272.0497909,-875643,-1106889,-875643,-1106889,120.17284807279114,576.1390086961593,134.60284298605,645.3200516533822,zMax,CMJ,double,both,2.330282926559448
165,1702049272.063999,-876359,-1106897,-876359,-1106897,120.26130438050214,576.5630905936497,134.60385225555967,645.3248903465158,zMax,CMJ,double,both,2.344491004943848
166,1702049272.078261,-876738,-1106290,-876738,-1106290,120.30812692327096,576.7875696986063,134.52727393151477,644.9577545050141,zMax,CMJ,double,both,2.358752965927124
167,1702049272.0925171,-876900,-1105556,-876900,-1105556,120.3281407806022,576.8835211893792,134.43467345400413,644.5138044100188,zMax,CMJ,double,both,2.373009204864502
168,1702049272.1067069,-876159,-1104762,-876159,-1104762,120.23659591466108,576.4446319630658,134.3345034551711,644.0335641165226,zMax,CMJ,double,both,2.3871989250183105
